Tool,Rate 1,Rate 2
AMBUR,0.095637852,0.095637852
AMBUR,0.097110236,0.097110236
AMBUR,0.098582619,0.098582619
AMBUR,0.100055003,0.100055003
AMBUR,0.10741692,0.10741692
AMBUR,0.108889304,0.108889304
AMBUR,0.110361687,0.110361687
AMBUR,0.11183407,0.11183407
AMBUR,0.116873776,0.116873776
AMBUR,0.118027357,0.118027357
AMBUR,0.119180937,0.119180937
AMBUR,0.120334517,0.120334517
AMBUR,0.124948838,0.124948838
AMBUR,0.126102419,0.126102419
AMBUR,0.127255999,0.127255999
AMBUR,0.128409579,0.128409579
AMBUR,0.1330239,0.1330239
AMBUR,0.134177481,0.134177481
AMBUR,0.135331061,0.135331061
AMBUR,0.136484641,0.136484641
AMBUR,0.141098962,0.141098962
AMBUR,0.142252543,0.142252543
AMBUR,0.143406123,0.143406123
AMBUR,0.144559703,0.144559703
AMBUR,0.149174024,0.149174024
AMBUR,0.150327605,0.150327605
AMBUR,0.151481185,0.151481185
AMBUR,0.152634765,0.152634765
AMBUR,0.154186693,0.154186693
AMBUR,0.15427337,0.15427337
AMBUR,0.154215219,0.154215219
AMBUR,0.153893445,0.153893445
AMBUR,0.152606347,0.152606347
AMBUR,0.152284573,0.152284573
AMBUR,0.151962799,0.151962799
AMBUR,0.151641024,0.151641024
AMBUR,0.150353927,0.150353927
AMBUR,0.150032153,0.150032153
AMBUR,0.149710379,0.149710379
AMBUR,0.149388604,0.149388604
AMBUR,0.148101507,0.148101507
AMBUR,0.147779733,0.147779733
AMBUR,0.147457959,0.147457959
AMBUR,0.147136184,0.147136184
AMBUR,0.14681441,0.14681441
AMBUR,0.142627603,0.142627603
AMBUR,0.141120575,0.141120575
AMBUR,0.139613547,0.139613547
AMBUR,0.13810652,0.13810652
AMBUR,0.133585436,0.133585436
