TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
27194429,17.76548402,200.4528409,7.43229,7.70574,7.82,7,6.792,6864,3.89932,,DWARF,2.26817,0.0954674,1.488,24,0.09595629,-23.3853,-11.3564,18,2458793.51,3.10315,3.535,1760.069946,,10.2146,6.886175182
27491137,39.79042916,217.3926784,8.3745,8.91028,9.139,7.613,7.115,5163,4.60219,,DWARF,0.772148,0.0454673,0.87,36,0.000295466,-118.228,-6.97322,11,2458601.233,3.41616,1.513,2490,,9.46381,6.509501632
27649847,12.22176047,123.3438584,12.4029,13.5861,14.691,10.921,10.089,3465,4.8084,,DWARF,0.420028,0.0125005,0.413895,71,0.003121671,90.4089,80.6946,2_3,2458354.458,0.941449,2.15304,10692.96369,,8.8287,4.92725477
27677846,46.36586092,66.37050774,9.5668,10.0763,10.286,8.87,8.37,5304,4.59704,,DWARF,0.794394,0.0442915,0.91,433,0.116635218,-59.115,9.55855,18,2458798.742,8.70769,2.745,4920,,9.62924,5.770087243
27966179,-22.53875093,358.7515644,12.8696,13.6181,13.979,11.771,10.962,4314,4.57277,,DWARF,0.703041,0.061892,0.674,32,0.0392613,25.1585,-36.4951,6,2458471.133,3.52985,1.907,560,,9.08959,8.129529932
28230919,48.08086038,297.7093644,8.5077,9.15098,9.46,7.608,7.009,4777.56,4.5631,0.299646,DWARF,0.759854,0.0482914,0.77,627,0.01861175,125.984,232.988,7,2458492.914,2.974175,3.031634,11707.25684,,13.2312,4.828862134
28900646,43.03741375,68.59373014,11.1117,12.2956,13.378,9.616,8.758,3457,4.7705,,DWARF,0.462408,0.013731,0.459708,407,0.150664464,37.8176,-86.9115,4,2458410.985,1.360025,2.156334,16380.625,,9.62713,4.46417383
29054413,25.04807204,50.91635665,10.4289,10.9488,11.458,9.693,9.211,5473,4.46488,,DWARF,0.949022,0.0504498,0.958,72,0.02195603,19.7644,-31.7744,25,2458985.618,5.031835,5.65938,5409.560738,,10.1213,5.667094997
29119552,45.80801537,118.6298095,10.2061,10.6027,10.901,9.624,9.256,6157,4.09579,,DWARF,1.60479,0.0918065,1.171,62,0.020761782,3.52635,-40.4155,5,2458438.296,0.63324,0.462,457.074005,,7.82829,8.350033694
29191596,45.88353955,151.7207939,8.676,9.13968,9.275,7.963,7.521,5502.54,4.43431,0.120465,DWARF,0.989152,0.0470527,0.97,22,0.063745044,-123.738,-49.0589,22,2458903.544,21.284406,2.768581,1546.632264,,9.85623,7.026532336
29191624,46.11497654,151.8070364,8.737,9.15437,9.31,8.124,7.783,5859.45,4.4776,,DWARF,0.983752,0.0388266,1.06,36,0.012169881,-0.714499,-22.1077,3,2458386.172,0.556737,0.852671,63679.09375,,15.6198,2.990007815
29344935,-25.68733303,313.2154704,13.2366,13.7712,14.052,12.518,12.037,5361,4.4198,,DWARF,0.984866,,0.93,,,1.05306,-9.88134,6,2458470.349,4.90746,4.152,11111.79981,,9.84786,4.885538979
29781292,-68.10264277,65.2380522,8.9387,9.29976,9.42,8.476,8.175,6315,4.23189,,DWARF,1.41189,0.0640704,1.24,145,0.004423542,22.0284,-10.4005,8,2458517.451,1.468833,0.778269,1259.181885,,10.027,7.249778832
29831208,-67.80649444,66.58254045,11.1311,11.6641,11.848,10.331,9.799,5343,,,GIANT,4.09498,,,,,7.88799,32.6528,14_15,2458686.374,7.31781,3.441,2930,,9.65306,6.332830949
29857954,-26.69263186,316.6319018,10.7379,11.1927,11.299,10.135,9.722,5759,3.94627,,DWARF,1.78866,0.0928794,1.031,87,0.010265449,-4.71107,-54.25,15_16,2458711.977,2.57282,3.445,1060,,9.14819,7.436735337
